Motor Type,Device Type,Run Time Since Maintenance,Run Time Since Overhaul,Run Time Since Production,Age Since Overhaul,Age Since Production,TempF Mean - 1 Minute,TempF StDev - 1 Minute,TempF Range - 1 Minute,TempF Max - 1 Minute,TempF Mean - 15 Minutes,TempF StDev - 15 Minutes,TempF Range - 15 Minutes,TempF Max - 15 Minutes,Observations Above Max Temp - 24 Hours,Remaining Useful Life
Permanent Magnet,Fan,5584,8824,13736,1377.07,1713.51,75.79,0.11,0.18,75.83,72.33,4.47,11.23,81.59,0,1408.39
Permanent Magnet,Fan,1052,3649,8232,321.43,866.37,73.43,3.1,6.2,77.01,100.73,0.18,0.43,101.02,0,2767.09
Permanent Magnet,Fan,1226,4048,9443,272.56,966.44,95.33,3.07,6.52,96.34,71.63,0.29,0.59,71.94,0,2880.01
Series-Wound,Actuator,3390,6510,11777,611.28,1033.23,71,4.03,9.53,77.5,71.35,0.2,0.47,71.47,0,2228.26
Permanent Magnet,Pump,3098,6092,11232,544.31,1112.9,77.17,1.49,2.28,77.31,76.76,0.38,1.13,77.55,6,1905.57
Permanent Magnet,Fan,1788,4489,9545,478.06,1006.56,69.23,0.21,0.35,69.27,84.84,2.09,6.23,89.58,0,2875.58
Permanent Magnet,Actuator,5436,8933,13784,1435.25,1748.78,87.64,4.17,10.36,91.83,71.32,1.57,4.63,73.47,0,1275.15
Permanent Magnet,Actuator,4590,7819,13054,814.21,1660.17,92.86,4.99,7.56,97.52,73.67,5.88,13.04,80.27,8,763.91
Permanent Magnet,Fan,1398,4226,8997,331.71,797.89,94.52,0.52,1.08,94.91,69.36,1.22,3.11,72.08,26,691.22
Permanent Magnet,Fan,1258,4508,9855,399.93,761.23,73.5,6.64,10.79,75.99,75.69,0.48,1.4,76.21,0,2937.66
Series-Wound,Conveyor,3635,6578,11176,517.56,919.15,72.82,2.48,5.75,74.79,77.89,2.54,5.76,79.35,8,1262.5
Shunt-Wound,Actuator,4840,8160,12883,702.38,1425.83,73.9,0.34,0.56,74.08,87.65,0.18,0.42,87.69,0,1635.2
Permanent Magnet,Pump,1347,4601,9918,296.81,760.43,73.71,0.19,0.31,73.95,73.88,3.75,9.81,77.46,0,3147.01
Series-Wound,Fan,1022,3528,8246,345.94,955.52,71.15,0.28,0.65,71.64,69.19,1.85,3.96,70.2,0,3255.21
Series-Wound,Pump,2377,5282,10457,371.01,1026.92,101.36,0.28,0.56,101.42,76.51,0.17,0.49,76.92,0,2490.79
Permanent Magnet,Conveyor,1398,4516,9380,318.89,690.31,85.5,0.15,0.28,85.63,75.8,1.89,5.57,77.58,0,3167.18
Permanent Magnet,Actuator,4555,7629,12371,540.16,1032.42,91.36,4.41,7.81,95.62,71.67,0.28,0.78,71.99,0,1691.65
Permanent Magnet,Fan,2762,5666,10704,683.65,1136.72,80.12,0.29,0.55,80.23,73.4,0.26,0.53,73.65,0,2635.28
Permanent Magnet,Conveyor,2420,4953,10220,350.95,832.75,86.23,1.53,3.69,87.41,70.58,0.26,0.52,70.68,0,2675.71
Shunt-Wound,Pump,1508,4308,9798,456.33,1366.65,72.03,0.25,0.42,72.04,73.31,2.39,6.95,76.33,0,3006.01
Permanent Magnet,Pump,1184,4270,9124,305.22,832.99,82.92,1.96,4.34,86.74,74.33,0.15,0.44,74.68,0,3007.49
Permanent Magnet,Conveyor,1663,4889,9893,543.31,1196.12,84.94,0.28,0.46,85.27,69.73,0.4,1.13,70,0,2908.87
Permanent Magnet,Actuator,3094,6467,11252,544.96,998.65,71.71,0.9,1.62,72.59,73.82,0.26,0.69,74.43,0,2544.71
Permanent Magnet,Fan,1014,4087,8721,534.93,907.87,82,0.89,1.87,83.23,72.2,0.15,0.34,72.23,0,3264.9
Series-Wound,Conveyor,5399,8874,13987,795.25,1124.01,69.9,5.97,10.7,70.18,77.51,0.48,1.12,77.98,0,1300.05
Permanent Magnet,Actuator,5960,8903,14295,584.28,1084.55,76.61,0.77,1.62,76.79,73.07,1.67,4.8,74.64,14,276.15
Permanent Magnet,Conveyor,4872,7595,12755,597.77,1278.92,71.46,3.95,8.13,72.58,70.96,0.17,0.44,71.23,5,1384.29
Permanent Magnet,Pump,2355,5359,10384,470.59,1008.62,82.69,1.54,2.94,84.57,70.56,3.76,8.12,72.68,0,2739.52
Series-Wound,Fan,3197,6501,11269,476.08,875.56,72,4.32,8.04,78.61,73.58,0.52,1.44,73.7,0,2308.55
Permanent Magnet,Conveyor,4575,7198,12420,1038.79,1646.62,73.44,1.41,2.3,74.57,76.56,1.35,3.49,79.28,2,1763.15
Permanent Magnet,Fan,3034,5754,11251,482.04,856.91,100.28,2.3,5.63,100.57,70.25,5.44,15.79,76.42,11,1119.13
Shunt-Wound,Actuator,2779,5360,9982,614.52,1012.83,89.6,1.44,2.93,90.08,70.38,0.48,1.29,71.01,0,2522.15
Permanent Magnet,Fan,5391,8079,13027,572.58,964.56,74.52,0.26,0.46,74.91,73.33,0.12,0.26,73.49,0,1706.28
Series-Wound,Fan,3101,5909,11002,422.11,981.45,74.25,0.64,1.29,74.54,73.91,3.44,8.38,79.41,8,1606.73
Shunt-Wound,Conveyor,2986,5784,11161,393.93,977.71,72.28,0.51,1.03,73.17,72.47,0.44,1.05,72.78,0,2651.33
Shunt-Wound,Actuator,5210,8627,13736,1204.11,1554.97,73.29,2.89,6.71,79.22,78.35,0.72,2.02,79.62,0,1417.82
Series-Wound,Fan,1049,3854,8367,346.33,727.01,72.87,2.47,5.97,75.41,78.27,0.25,0.58,78.62,0,3108.12
Permanent Magnet,Conveyor,2443,5522,10503,457.29,779.31,71.56,3.61,8.3,73.55,80.09,0.38,0.82,80.45,0,2613.23
Series-Wound,Conveyor,2670,5297,10681,380.86,912.71,70.78,1.31,2.52,72.97,73.43,4.28,10.72,82.58,22,392.9
Permanent Magnet,Pump,3816,7166,12296,489.26,1226.52,72.94,0.29,0.69,73.18,76.42,1.01,3.02,79.05,0,2310.56
Shunt-Wound,Actuator,5863,8955,14312,582.86,926.41,80.69,2.39,5.89,82.93,79.88,0.24,0.53,80.13,0,1325.94
Permanent Magnet,Fan,3109,5984,10805,484.36,901.86,71.9,0.21,0.33,72.14,72.97,0.19,0.39,73.01,0,2530.03
Permanent Magnet,Pump,5738,8304,13317,805.69,1326.78,77.29,0.26,0.54,77.69,75,2.39,5.06,79.05,0,1545.63
Permanent Magnet,Fan,1601,4231,8784,345.86,1059.51,71.56,4.56,9.17,79.29,73.3,0.22,0.5,73.4,0,2876.88
Series-Wound,Conveyor,2704,5579,10244,364.49,975.97,72.07,1.26,2.85,73.44,70.95,0.15,0.33,71.14,15,1179.3
Series-Wound,Fan,4795,7358,12243,487.57,826.88,80.62,1.45,2.47,81.21,72.16,0.89,2.13,73.65,0,1879.3
Permanent Magnet,Actuator,2749,5388,10523,800.59,1347.03,72.81,0.28,0.54,73.13,71.66,1.54,4.18,75.37,0,2594.38
Series-Wound,Fan,4102,7348,12638,691.97,1278.26,94.42,2.36,5.2,95.07,72.13,0.43,0.94,72.27,2,1603.28
Permanent Magnet,Pump,5391,8602,13683,1065.29,1633.94,93.94,0.21,0.42,94.11,70.87,0.96,2.84,71.84,14,222.89
Shunt-Wound,Actuator,1048,3870,9158,603.88,1170.05,79.81,5.46,8.22,85.14,70.75,0.37,0.94,71.06,0,2953.42
Shunt-Wound,Conveyor,5041,8266,12975,1107.62,1689.03,86.69,1.8,3.07,87.25,70.55,4.86,11.09,80.2,0,1411.86
Permanent Magnet,Fan,4684,7549,12170,875.1,1243.53,102.16,0.34,0.59,102.47,69.91,0.36,0.8,70.17,0,1895.66
Series-Wound,Conveyor,2837,5843,10913,621.74,1409.29,71.98,2.32,4.22,72.86,89.79,0.51,1.08,90.55,0,2207.22
Shunt-Wound,Pump,2986,5739,10752,707.01,1225.07,98.57,3.73,8.27,101.1,74.15,1.2,2.51,75.64,0,2139.22
Series-Wound,Fan,4515,8001,13417,720.9,1284.66,72.04,0.31,0.48,72.2,71.47,1.16,2.64,73.84,10,1100.09
Shunt-Wound,Pump,3766,6632,11649,541.06,995.13,85.29,0.22,0.4,85.51,73.03,0.77,1.67,74.3,0,2226.27
Permanent Magnet,Conveyor,1158,4376,9349,318.28,763.6,74.23,3.83,7.28,76.06,71.3,0.13,0.27,71.52,0,3175.82
Permanent Magnet,Fan,1091,3689,8651,472.32,1064.93,70.24,0.24,0.41,70.52,74.58,3.2,7.82,80.88,0,3143.18
Permanent Magnet,Pump,5291,7926,12653,900.84,1510.24,89.1,0.42,0.96,89.41,71.71,0.53,1.54,72.85,0,1715.29
Permanent Magnet,Conveyor,2388,5382,10862,445.19,902.4,85.17,2.13,3.38,87.81,69.66,0.45,1.34,70.54,0,2704.45
Shunt-Wound,Pump,3337,5914,10605,407.91,837.14,70.11,0.38,0.6,70.54,101.65,0.54,1.36,102.85,2,2072.81
Permanent Magnet,Pump,2746,5483,10687,837.16,1209.07,70.99,0.22,0.46,71.09,76.75,0.87,2.48,78.56,13,1499.43
Series-Wound,Pump,1903,4654,9709,382.15,856.75,70.36,5.6,12.31,74.71,75.28,1.25,3.09,75.87,0,2527
Permanent Magnet,Conveyor,1803,5257,9833,678.14,1090.86,70.3,1.23,2.56,71.97,69.19,3.94,7.97,73.36,0,2932.92
Permanent Magnet,Fan,4365,7581,12730,756.76,1106.91,96.72,0.13,0.22,96.85,75.35,1.8,4,76.7,0,1825.91
Permanent Magnet,Pump,2626,5744,10705,743.13,1062.81,74.1,1.1,2.36,76.17,71.06,3.61,9.04,75.14,0,2570.09
Shunt-Wound,Fan,5652,9126,14299,928.46,1686.25,72.81,0.95,1.59,73.79,81.85,0.28,0.75,82.49,0,1365.35
Permanent Magnet,Pump,3095,6239,11642,825.53,1550.28,72.39,0.22,0.52,72.81,73.5,0.25,0.69,73.55,0,2557.23
Permanent Magnet,Conveyor,2563,5895,10698,656.46,966.61,104.48,0.21,0.35,104.58,90.59,2.48,7.34,91.18,0,2228.5
Permanent Magnet,Fan,4941,7824,12783,981.91,1326.22,86.28,0.42,1.05,86.5,69.75,1.13,2.37,70.15,0,1775.04
Permanent Magnet,Pump,4831,7974,13172,946.86,1545.88,81.36,0.21,0.34,81.62,74.06,3.27,8.33,75.25,18,163.19
Permanent Magnet,Actuator,3676,6975,12449,909.48,1732.43,73.64,0.28,0.62,74.12,72.18,6.67,15.13,81.57,0,2165.78
Shunt-Wound,Pump,1380,4315,9746,293.14,1173.24,69.4,0.32,0.75,69.94,72.29,0.16,0.43,72.35,0,3131.06
Permanent Magnet,Pump,4384,7548,13002,1190.2,1945.18,70.07,4.39,6.79,72.89,77.47,0.49,1.06,78.34,0,1811.98
Permanent Magnet,Fan,4064,6868,11608,684.76,1074.78,69.35,0.3,0.64,69.84,73.53,4.01,10.59,77.17,0,2088.55
Shunt-Wound,Pump,1912,4692,9285,463.93,1146.71,77.65,0.41,0.79,77.71,72.52,0.23,0.57,72.7,0,2949.8
Series-Wound,Actuator,1374,4763,9348,307.7,840.91,95.3,4.31,10.07,98.78,85.7,0.23,0.66,86.02,0,2528.6
Shunt-Wound,Actuator,2249,5232,9874,525.91,905.85,70.18,1.27,2.23,72.04,74.89,0.26,0.67,75.17,13,1677.46
Shunt-Wound,Actuator,3288,5929,11234,456.25,1111.92,78.76,0.17,0.36,79.02,96.59,0.13,0.36,96.76,0,2239.16
Permanent Magnet,Conveyor,2994,6353,11156,671.75,1061.85,94.26,0.18,0.4,94.33,72.39,0.27,0.76,72.6,0,2418.79
Permanent Magnet,Fan,2718,5528,10372,631.68,1063.29,73.6,3.6,7.67,78.29,73.9,5.79,14.86,83.14,0,2273.94
Series-Wound,Conveyor,1566,4829,9400,690.58,1089.36,96.68,0.76,1.84,96.85,73.9,0.23,0.53,74.11,0,2701.16
Shunt-Wound,Pump,4814,7465,11966,1028.2,1679.42,70.36,0.6,1.5,71.56,73.52,0.29,0.58,73.83,26,1
Series-Wound,Actuator,2345,5258,10274,365.5,876.62,71.72,1.18,2.91,72.81,74.37,0.28,0.79,74.55,0,2636.56
Series-Wound,Fan,1472,4061,9094,438.89,1226.42,70.21,0.32,0.64,70.55,69.8,0.35,0.99,70.05,0,2973.42
Permanent Magnet,Conveyor,5878,8638,14085,671.33,1275.93,75.62,0.25,0.51,75.68,75.51,1.27,3.27,75.84,0,1600.03
Permanent Magnet,Conveyor,1418,4382,9785,691.56,1262.09,95.5,0.19,0.28,95.64,70.23,0.23,0.56,70.66,0,3006.09
Series-Wound,Pump,5971,9329,14070,691.58,1048.1,88.05,1,2.19,88.49,101.87,1.39,2.92,102.18,0,1070.18
Series-Wound,Fan,2599,5868,11235,468.85,1149.63,79.25,0.39,0.76,79.75,72.18,0.28,0.56,72.29,0,2671.55
Permanent Magnet,Pump,3812,6370,11374,602.45,1169.19,70.58,0.89,1.92,71.8,81.64,0.41,0.89,82.02,0,2267.13
Permanent Magnet,Actuator,2260,4819,10021,420.08,1201.25,92.87,0.12,0.23,92.9,73.47,0.31,0.75,73.59,0,2739.26
Permanent Magnet,Conveyor,4760,8160,12729,1039.72,1693.82,71.42,0.69,1.39,71.78,70.83,0.54,1.5,71.15,22,1
Permanent Magnet,Fan,4819,7481,12409,1194.85,1696.76,78.24,3.61,7.67,81.21,71.04,0.19,0.39,71.1,0,1560.07
Series-Wound,Conveyor,5765,8896,14168,1207.68,1843.76,99.23,5.85,10.69,102.47,77.85,0.27,0.54,78.24,2,740.61
Permanent Magnet,Actuator,4304,7635,12592,509.5,831.59,75.36,5.86,12.26,79.24,86.94,1.91,4.36,87.19,0,1663.26
Permanent Magnet,Conveyor,1128,4574,9369,364.25,819.23,70.84,1.05,2.22,71.66,72.59,4.08,9.67,80.65,0,3166.12
Permanent Magnet,Actuator,4646,7546,12337,1236.51,1730.36,92,0.2,0.49,92.28,89.7,0.28,0.61,89.97,2,1398.01
Permanent Magnet,Actuator,3169,6408,11893,934.73,1495.59,69.58,0.25,0.52,70.03,86.1,0.17,0.49,86.2,0,2310.87
Permanent Magnet,Fan,2595,5108,10495,822.41,1607.07,73.3,0.21,0.33,73.36,78.37,1.99,4.24,79.43,9,1828.61
Shunt-Wound,Actuator,3579,6944,11903,835.7,1283.32,73.53,0.52,1.11,74.46,72.7,0.17,0.52,72.98,0,2401.4
Permanent Magnet,Fan,1452,4692,9604,386.49,1035.31,72.1,0.84,1.56,73.07,73.84,0.14,0.42,74.12,0,3104.19
Permanent Magnet,Fan,4340,6937,11520,497.4,880.82,102.33,2.48,3.93,104.66,87.83,0.32,0.82,88.33,0,1675.22
Permanent Magnet,Fan,5028,7850,13245,648.66,1307.15,98.3,0.26,0.48,98.41,94.95,0.24,0.52,95.1,0,1526.3
Series-Wound,Actuator,2089,5209,10476,391.29,920.52,70.99,5.61,12.38,80.5,74.11,0.29,0.75,74.2,8,1711.51
Permanent Magnet,Pump,4164,7158,12298,1158.5,1745.45,86.77,2.21,5.23,87.45,93.19,3.74,8.65,98.04,5,1143.98
Permanent Magnet,Fan,1058,3759,8815,416.97,905.01,73.75,0.1,0.18,73.89,71.14,0.18,0.41,71.22,0,3350.13
Permanent Magnet,Actuator,4637,8134,12985,570.45,1216.25,87.04,0.29,0.44,87.28,71.99,0.26,0.69,72.1,0,1907.16
Permanent Magnet,Actuator,4039,7268,12503,899.6,1260.13,93.23,0.43,0.7,93.52,75.19,0.76,1.86,76.04,0,1951.59
Permanent Magnet,Fan,5711,8539,13310,734.86,1436.6,82.68,0.24,0.56,82.86,76.32,0.71,1.86,77.12,0,1611.3
Permanent Magnet,Fan,3729,6979,12326,953.15,1549.96,74.53,0.86,1.94,75.33,77.39,1.64,3.79,80.52,0,2059.85
Series-Wound,Conveyor,1921,4864,9462,504.51,867.72,71.07,0.22,0.42,71.36,84.84,3.49,9.18,92.14,0,2655.88
Shunt-Wound,Actuator,3049,6369,11092,536.36,1111.94,71.88,0.52,0.98,72.15,73.92,2.42,4.85,75.16,0,2419.28
Permanent Magnet,Pump,2360,5614,10931,601.3,1113.34,69.15,0.74,1.66,70.54,73.92,2.65,5.53,75.96,0,2695.95
Series-Wound,Fan,4913,7419,12137,1104.8,1620.98,73.36,4.47,8.93,79.47,70.31,0.34,1,70.56,0,1515.65
Series-Wound,Pump,3713,6618,11793,633,1176.29,70.44,0.18,0.39,70.65,91.64,1.07,3.01,92.93,0,2002.03
Permanent Magnet,Conveyor,1182,4300,9164,701.5,1025.35,76.37,0.24,0.56,76.52,73.4,0.12,0.35,73.48,0,3167.98
Permanent Magnet,Actuator,3733,6807,11549,637.25,1251.25,83.22,0.44,0.7,83.5,71.6,0.53,1.42,71.75,0,2345.85
Permanent Magnet,Fan,4325,7229,12267,665.88,1033.5,73.73,0.17,0.27,73.78,94.1,1.9,4.73,94.95,0,1915.22
Permanent Magnet,Conveyor,5844,8377,13644,776.9,1221.75,73.63,6.42,15.36,79.65,72.37,0.86,1.78,73.85,2,1059.32
Shunt-Wound,Pump,1934,4734,10224,543.1,1003.86,70.35,0.13,0.29,70.44,95.16,0.79,1.68,96.28,0,2778.72
Permanent Magnet,Pump,2212,5298,10152,525.84,1239.27,72.9,0.3,0.55,73.23,91.58,0.92,1.85,92.15,0,2725.36
Permanent Magnet,Conveyor,2697,5923,10927,452.95,1032.48,82.76,0.23,0.51,82.99,74.42,0.2,0.49,74.73,10,1698.59
Permanent Magnet,Actuator,4307,7680,12465,592.32,1305.63,82.72,0.24,0.5,83.11,85.6,0.26,0.65,85.79,0,1922.22
Permanent Magnet,Fan,2594,5667,10301,542.28,1282.83,83.97,0.25,0.56,84.27,69.5,3.73,10.71,73.49,0,2645.83
Series-Wound,Conveyor,2220,5695,10808,450.57,914.01,69.19,0.18,0.37,69.21,71.94,2.56,7.65,78.77,0,2779.83
Permanent Magnet,Actuator,2781,5724,11116,480.8,1072.78,69.22,0.14,0.22,69.28,93.62,3.95,9.35,98.67,0,2423.32
Permanent Magnet,Conveyor,3024,5747,10907,513.15,854.16,73.32,3.93,8.25,76.12,69.67,3.14,8.79,72.41,0,2412.78
Permanent Magnet,Pump,5068,8072,13097,565.48,918.59,74.74,0.19,0.29,74.97,70.16,0.15,0.38,70.29,2,1849.59
Series-Wound,Fan,3598,6902,11670,858.56,1236.07,95.29,2.09,3.81,96.99,72.03,0.27,0.72,72.14,0,1973.11
Permanent Magnet,Conveyor,5905,8528,13750,1263.52,1943.26,71.47,0.23,0.57,71.53,73.8,0.86,2.4,74.6,0,1490.17
Permanent Magnet,Fan,5577,8297,13794,946.13,1466.83,87.16,2.48,5.86,92.07,74.19,1.06,2.68,76.46,0,1421.56
Shunt-Wound,Actuator,3894,6475,11097,986.02,1321.57,81.71,0.29,0.6,81.94,74.38,0.32,0.94,75.22,0,2214.65
Permanent Magnet,Fan,1338,4026,8974,318.56,771.01,71.1,1.7,3.22,73.89,83.78,0.49,1.1,84.5,0,3006.98
Series-Wound,Fan,3089,5897,10990,730.7,1092.57,87.2,2.19,3.8,88.76,72.29,1.99,5.15,76.08,0,2335.28
Shunt-Wound,Conveyor,2583,5381,10758,649.9,1240.15,72.45,1.23,2.54,72.69,77.11,0.24,0.61,77.65,14,1318.45
Shunt-Wound,Actuator,4560,7977,13086,584.77,988.42,71.68,5.95,10.96,76.3,85.26,1.7,4.43,85.74,0,1588.17
Series-Wound,Fan,1850,4655,9168,565.58,891.81,72.53,1.77,3.89,73.18,72.48,1.99,4.33,75.02,0,2797.2
Permanent Magnet,Conveyor,5293,8372,13353,1101.58,1486.34,99.75,0.2,0.39,99.91,74.04,0.55,1.12,74.74,0,1468.45
Series-Wound,Conveyor,4768,7395,12779,540.65,1019.7,93.41,6.35,15.5,100.01,72.33,0.32,0.76,72.68,0,1416.9
Permanent Magnet,Pump,5782,9132,14262,888.08,1394.32,76.68,0.31,0.6,76.83,76.32,1.14,2.43,76.41,0,1511.31
Shunt-Wound,Actuator,3904,6996,12353,505.61,1112.76,72.18,5.53,12.16,81.36,79.88,1.12,2.74,80.88,0,1890.24
Permanent Magnet,Fan,4175,7050,11871,1037.81,1367.8,71.46,0.71,1.36,71.53,88.18,6.04,16.64,88.78,0,1884.26
Permanent Magnet,Pump,4998,7564,12577,563.42,1334.02,76.64,6.76,12.5,81.37,77.28,2.13,5.15,78.74,0,1446.15
Permanent Magnet,Fan,1078,3708,8261,320.1,1044.89,79.96,0.81,1.29,80.56,77.17,6.02,13.91,82.19,12,1966.94
Series-Wound,Conveyor,5967,8842,13507,626.58,937.31,71.11,0.86,1.58,72.1,71.53,0.83,2.25,71.57,0,1553.93
Series-Wound,Fan,2937,5500,10385,488.4,884.07,71.17,4.96,9.06,75.81,72.85,3.81,9.27,78.89,3,1897.43
Permanent Magnet,Actuator,5073,7712,12847,1103.95,1959.69,70.36,0.3,0.51,70.39,74.51,2.09,6.12,76.5,6,1196.13
Series-Wound,Fan,1804,5050,10340,446.67,796.71,73.42,5.1,12.74,81.04,73.55,0.38,0.9,74.27,6,2073.26
Permanent Magnet,Pump,4902,8113,13194,705.38,1128.94,73.36,1.32,2.03,73.53,71.73,0.58,1.71,72.49,1,1750.38
Shunt-Wound,Actuator,1930,4752,10040,744.89,1390.83,70.27,1.05,2.51,72.21,73.36,0.41,1.21,74.27,13,1533.02
Shunt-Wound,Conveyor,1041,4266,8975,291.64,692.89,100.07,0.24,0.4,100.41,101.02,0.41,1.21,101.8,24,563.01
Permanent Magnet,Fan,2923,5788,10409,381.09,694.24,92.19,0.31,0.46,92.23,70.3,1.27,3.52,70.99,0,2511.46
Series-Wound,Conveyor,2669,5675,10745,501.32,847,71.9,0.25,0.54,72.04,74.36,0.33,0.84,74.79,0,2627.78
Shunt-Wound,Pump,4830,7583,12596,769.61,1184.42,91.84,4.53,10.49,100.35,95.79,1.47,3.25,97.59,0,1281.81
Series-Wound,Fan,1399,4885,10301,444.22,970.48,100,0.14,0.23,100.18,72.81,4.91,14.06,74.84,0,2793.48
Shunt-Wound,Pump,2326,5192,10209,415.09,1138.96,80.15,0.51,1.09,80.77,100.58,0.75,1.81,101.81,22,390.99
Permanent Magnet,Conveyor,2823,6041,11014,763.32,1146.24,89.74,1.82,4.24,91.52,73.57,0.31,0.62,74,0,2415.56
Permanent Magnet,Fan,2348,4946,9908,537.29,1145.6,83.16,0.18,0.29,83.26,94.52,0.52,1.26,95.18,20,696.75
Permanent Magnet,Pump,1290,3925,8652,538.48,1080.68,70.17,0.28,0.64,70.32,72.5,1.32,2.74,74.81,0,3146.87
Permanent Magnet,Conveyor,3323,6317,11797,531.27,1051.06,75.3,0.98,1.62,75.99,82.66,0.48,1.15,83,2,2095.74
Shunt-Wound,Pump,5544,8121,12812,829.88,1153.1,72.46,5.38,12.02,75.21,70.8,0.16,0.32,71.01,0,1300.91
Permanent Magnet,Pump,3921,6658,11862,444.9,1087.12,77.15,0.46,0.72,77.6,75.1,0.28,0.69,75.44,0,2241.82
Series-Wound,Pump,2678,5429,10484,351.8,1129.11,90.38,0.5,0.92,90.5,70.89,0.32,0.87,71.34,12,1372.68
Permanent Magnet,Conveyor,1733,5187,9763,417.61,788.4,98.43,0.21,0.46,98.78,76.54,0.44,1.27,77.09,0,2763.58
Permanent Magnet,Fan,1329,4545,9694,444.1,849.21,71.22,0.52,0.9,71.82,75.27,0.2,0.45,75.3,0,3090.55
Permanent Magnet,Pump,3370,6488,11449,765.78,1178.37,75.76,0.42,0.98,76.38,72.43,0.13,0.34,72.51,0,2471.92
Shunt-Wound,Fan,5702,9176,14349,853.5,1186.65,81.37,0.74,1.81,82.89,79.44,1.36,4.03,82.53,0,1366.74
Permanent Magnet,Pump,5179,8323,13726,1345.25,2244.16,90.32,0.46,1,91.14,94.74,3.96,8.53,97.82,0,1198.75
Permanent Magnet,Conveyor,2312,5644,10447,577.32,1226.91,69.49,2.57,4.3,73.19,69.8,0.56,1.64,70.55,18,1151.55
Permanent Magnet,Fan,2565,5448,10407,460.99,1248.09,69.36,2,4.58,70.87,91.64,1.34,2.88,93.01,4,2102.99
Permanent Magnet,Pump,1074,4217,9415,325.65,717.07,72.58,0.25,0.52,72.74,74.39,0.24,0.56,74.85,0,3263.94
Permanent Magnet,Actuator,2798,6097,11571,515.82,1385.93,69.65,0.77,1.53,70.85,72.62,5.11,11.4,74.51,0,2556.36
Shunt-Wound,Pump,3186,6121,11552,418.34,847.76,70.37,0.45,1.08,70.7,93,0.16,0.47,93.19,0,2404.9
Permanent Magnet,Pump,2720,5884,11338,835.11,1713,71.35,5.7,11.14,77.2,79.78,0.75,1.81,80.52,0,2209.95
Permanent Magnet,Fan,4441,7245,11985,755.34,1328.96,104.91,1.42,3.4,105.95,100.62,0.28,0.62,101.02,0,1508.6
Shunt-Wound,Pump,5765,8545,13138,781.63,1330.42,70.17,0.22,0.46,70.37,93.94,4.28,11.46,96.1,0,1335.65
Series-Wound,Actuator,2470,5859,10444,392.69,990.71,71.28,0.51,1.13,72.22,72.52,3.75,9.85,74.7,0,2644.74
Shunt-Wound,Actuator,1230,4213,8855,282.69,739.6,96.04,3.69,6.86,97.36,81.89,2.48,6.77,85.81,0,2665.44
Shunt-Wound,Actuator,5169,7810,13115,517.16,1237.7,74.47,0.28,0.66,74.5,83.1,4.23,11.44,93.08,28,1
Permanent Magnet,Conveyor,1095,4454,9257,607.27,1370.33,87.93,0.36,0.72,88.06,71.81,0.15,0.44,72.06,0,3080.59
Permanent Magnet,Fan,5382,8192,13036,875.08,1263.62,75.59,2.87,4.94,79.74,72.24,0.86,2.21,72.29,0,1510.2
Series-Wound,Conveyor,4478,7741,12312,1200.84,1800.61,88.98,1.8,4.18,92.64,87.75,2.79,6.35,88.25,0,1392.3
Shunt-Wound,Pump,2513,5164,9665,433.81,1034.54,76.67,0.51,0.88,77.31,73.17,2.21,5.5,73.75,24,489.88
Series-Wound,Actuator,2979,5892,10908,610.09,952.79,72.07,3.71,8.81,72.44,91.28,5.92,13.24,101.24,0,2040.16
Series-Wound,Fan,2550,5139,10172,419.86,1143.75,69.77,0.18,0.44,69.77,69.97,3.33,6.68,74.77,0,2621.29
Permanent Magnet,Conveyor,4468,7228,12675,478.77,905.59,70.43,0.32,0.71,70.57,73.25,0.55,1.53,73.67,0,2204.06
Permanent Magnet,Conveyor,2318,5282,10685,366.06,987.73,79.79,2.46,4.51,81.98,69.31,0.78,2.01,71.05,0,2628.26
Series-Wound,Pump,3321,6679,11420,451.26,849.75,73.65,0.23,0.48,74.08,78.83,0.52,1.21,78.99,3,2092.64
Series-Wound,Fan,4316,7585,12952,1120.23,1588.14,76.26,0.17,0.35,76.27,72.51,1.05,2.19,73.36,0,1900.78
Permanent Magnet,Pump,2930,5488,10492,430.21,811.63,73.3,0.26,0.42,73.5,74.5,0.68,1.72,75.53,0,2591.29
Permanent Magnet,Actuator,4170,6729,11931,809.98,1196.85,90.65,1.19,1.83,92.27,73.95,1.7,4.88,74.87,0,1958.41
Permanent Magnet,Conveyor,4299,7699,12268,512.55,895.15,71.87,6.2,11.3,77.32,75.99,6.68,16.42,80.64,0,1609.45
Permanent Magnet,Fan,4616,7278,12206,787.76,1248.97,85.28,5.75,11.66,89.51,69.7,4.2,10.66,75.67,0,1615.73
Series-Wound,Conveyor,4137,7268,12540,636.52,996.99,83,0.23,0.58,83.37,76.1,0.45,1.16,76.94,0,1922.87
Permanent Magnet,Actuator,3479,6810,11767,683.99,1038.41,71.61,2.31,3.91,74,86.54,4.86,13.79,96.64,0,2147.57
Permanent Magnet,Conveyor,3865,7311,12106,546.97,1066.16,91.25,0.2,0.47,91.45,103.43,1.89,4.29,104.56,0,1928.55
Permanent Magnet,Actuator,2878,5778,10569,755.13,1064.57,77.51,0.26,0.62,77.97,73.83,0.17,0.46,74.05,0,2609.06
